url	h1	сегмент ЦА	тип	частота всего	целевая частота	ядро	прошивка (хвост)	комментарий
/error-logging/slow-requests	Медленные запросы: находим, что именно тормозит у пользователя	разработчик,devops	solution	3597	3597	медленные запросы (0); время ответа сервера (803); время отклика сайта (0); сайт тормозит (1279)	время ответа сервера истекло (236); проверить время ответа сайта (170); время ответа сервера сайта (148); время ответа сервера проверить (136); превышено время ответа от сервера (119); проверить время ответа сервера сайта (88); сайт яндекса тормозит (67); сайт озона тормозит (66); тормозят сайты сегодня (57); как обойти блокировку и замедление сайтов (52); сайт долго грузится и не открывается (50); тормозит загрузка сайтов (47); сайт вб тормозит (44); проверка время ответа сервера (42); тормозят сайты в браузере (41); почему сайт вб тормозит (28); озон тормозит почему сайт сегодня (27); какие сайты тормозят (25); тормозят некоторые сайты (21); сайт валберис тормозит (19); увеличить время ответа сервера (18); среднее время ответа сервера (14)	
/session-replay	Запись сессий пользователей: смотрите сессию как видео	владелец,маркетолог,поддержка	solution	593	593	запись сессий пользователей (15); запись сессий на сайте (7); запись экрана посетителей сайта (0); аналитика поведения пользователей на сайте (36)	запись экрана сайт (426); запись экрана через сайт (38); запись экрана официальный сайт (36); запись экрана пк на сайте (23); запись сессий бесплатно (10); яндекс метрика запись экрана (2)	
/session-replay/heatmaps	Тепловая карта и карта кликов: где пользователи ломаются	маркетолог	solution	218	218	тепловая карта сайта (111); карта кликов (0); heatmap (0)	карта скроллинга метрика (39); яндекс карты скроллинг (27); карта скроллинга яндекс метрика (25); тепловая карта сайта как посмотреть (16)	нужен функционал: агрегация кликов из rrweb
/speed-test	Проверить скорость загрузки сайта онлайн — бесплатно	все	tool	28274	28274	проверить скорость сайта (1771); скорость загрузки сайта (2154); скорость сайта (16354); проверить скорость загрузки сайта онлайн (35); время загрузки страницы (369)	проверка скорости сайта (1884); pagespeed insights (1031); проверить скорость загрузки сайта (624); google pagespeed (571); google's pagespeed (571); google pagespeed insights (391); скорость сайта google speed (336); проверка скорости загрузки сайта (296); google скорость загрузки сайта (261); скорость загрузки сайта speed (210); скорость загрузки сайта google page (172); скорость загрузки сайта google page speed (171); скорость загрузки страницы сайта (112); проверить скорость сайта онлайн (95); pagespeed web (94); pagespeed dev (82); pagespeed web dev (82); pagespeed сайта (79); скорость загрузки сайта онлайн (74); проверить скорости сайта google (57); скорость загрузки сайта яндекс (57); скорость загрузки сайта гугл (55); плагин время загрузки страницы (54); проверить скорость страницы сайта (49); pagespeed https (48); какая скорость загрузки сайта (46); pagespeed insights сайт (45); тест скорости загрузки сайта (44)	
/site-check	Проверить сайт онлайн: ошибки, скорость и соответствие 152-ФЗ	владелец,агентство	tool	27618	27618	проверка сайта на ошибки онлайн (35); проверить сайт на ошибки (0); проверка работы сайта (1528)	проверить сайт бесплатно (25909); seo проверка сайта онлайн (50); проверить сайт на ошибки бесплатно (48); проверить сайт на ошибки онлайн (35); проверить сайт на ошибки онлайн бесплатно (13)	перенос логики обхода из админки в публичную страницу
/site-audit	Аудит сайта: обход страниц, ошибки бэкенда, формы и медленные запросы	владелец,агентство	tool	10730	10730	аудит сайта (6807); проверка сайта на ошибки (524); технический аудит сайта (189); проверка технических ошибок сайта (7); чек лист проверки сайта (137)	проверка сайта на 152 фз (328); аудит сайта бесплатно (276); аудит сайта онлайн (254); seo аудит сайта (242); аудит сайта ии (215); аудит сайта под ии (175); сео аудит сайта (124); проверка сайта на 152 фз онлайн (119); аудит сайта бесплатно онлайн (118); проверка сайта на соответствие 152 фз онлайн (108); проверка сайта на оплату (104); анализ аудит сайта (97); аудит сайта сервисы (78); аудит сайта клиентами (69); петербург аудит сайт (67); аудит сайта организации (65); аудит сайта ru (60); аудит сайта под chatgpt (57); как проводить аудит сайта (57); делать аудит сайта (55); сделать аудит сайта (55); услуга аудит сайта (54); аудит сайта группы (52); маркетинговый аудит сайта (51); аудит сайтов челябинск (49); llm аудит сайта (49); проверка аудит сайт (45); аудит сайта хабаровск (43)	
/feedback-widget	Виджет «Сообщить об ошибке»: жалоба клиента приходит вместе с сессией	владелец,поддержка	solution	13050	13050	сообщить об ошибке на сайте (102); виджет обратной связи (0); форма обратной связи на сайт (1017); виджет сообщить об ошибке на сайте (0)	сообщить об ошибке (11639); виджет платформы обратной связи (150); сообщить об ошибках на сайте (102); виджет платформы обратной связи пос (21); виджет обратной связи для сайта (19)	
/tasks	Задачи из обращений: канбан-доска и переписка с клиентом	поддержка,агентство	solution	9268	9268	канбан доска (4409); таск трекер (2279); доска задач канбан (258); канбан доска бесплатно (204)	таск трекер это (392); бесплатный таск трекер (152); канбан доска онлайн (148); колонка доски канбан (128); инструменты канбан доска (106); сделать канбан доску (103); доска канбан в работе (99); канбан доска проектов (95); канбан доска приложение (93); примеры канбан досок (75); канбан доска создать (72); виды канбан досок (70); яндекс канбан доска (68); канбан доска скачать (67); канбан доска готовая (64); таск трекер jira (60); колонка доски канбан включающая полностью (59); jira канбан доска (58); колонка доски канбан включающая полностью выполненные задачи (55); канбан доска статусы (53); канбан доска эксель (51); лучшие таск трекеры (50)	
/alerts/telegram	Алерты о падении сайта в Telegram	все	solution	9454	3068	мониторинг сайта телеграм (3); уведомления в телеграм (6386, размытый); алерты в телеграм (14); телеграм бот для сайта (126)	уведомление в телеграме (1502); бот уведомления в телеграм (156); сайт для телеграм бота (126); уведомление о днях рождения в телеграм (111); настройки уведомлений в телеграм (91); что с уведомлениями в телеграм (80); как в телеграм поставить уведомление (72); пропали уведомления в телеграм (68); перестали приходить уведомления в телеграм (67); как поменять уведомления в телеграм (64); почему нет уведомлений в телеграм (64); телеграм не показывает сообщение в уведомлении (61); уведомления о сторис в телеграм (57); висит уведомление в телеграм (53); имена в уведомлениях телеграм (48); не отображаются уведомления в телеграм (48); пуш уведомления в телеграм (45); уведомления макс в телеграм (44); уведомления почта в телеграм (44); почему перестали приходить уведомления в телеграм (42); отправка уведомления в телеграм (41); подключить уведомления в телеграм (41)	
/alerts/email	Уведомления о сбоях на email	все	solution	31	31	уведомление о падении сайта (0); смс уведомления о падении сайта (0); оповещение о падении сайта (0)	уведомление оператора персональных данных на сайте роскомнадзора (31)	
/status-page	Статус-страница сервиса: публичный uptime для клиентов	saas,агентство	solution	4742	4742	статус страница (3591); статус страница сервиса (81); status page (0)	статус страницы вк (411); проверить статус страницу (314); узнать статус страницы (93); проверить статус страницы сайта (75); страница статуса для сайта (63); посмотреть статус страницы (53); статус страницы 404 (26); как получить статус страницы (23); статус страницы 200 (12)	нужен функционал: публичная status-страница
/api	Публичное API Logsy: сессии и события в JSON	разработчик	solution	86	86	api сервиса мониторинга (0); api логирования (0)	проверка rest api (47); json api документация (17); rest api документация на русском (16); мониторинг rest api (6)	
/cookie-banner	Баннер cookie и согласие на обработку данных по 152-ФЗ	владелец,юрист	solution	131554	31529	баннер cookie (0); cookie баннер (0); согласие на обработку персональных данных на сайте (2649); баннер cookie согласия (78)	152 фз персональные данные (31901, размытый); 152 фз о персональных данных (27452, размытый); закон о персональных данных 152 фз (12955, размытый); фз 152 2006 о персональных данных (10401, размытый); федеральный закон 152 фз о персональных данных (9877); 27.07 2006 152 фз о персональных данных (8040, размытый); ст 152 фз о персональных данных (3474); статья 152 фз о персональных данных (2627); образец согласия на обработку персональных данных 2026 (2496); 152 фз о персональных данных год (2471, размытый); фз 152 о персональных данных с изменениями (1933, размытый); 152 фз согласие на обработку персональных данных (1726, размытый); защита персональных данных фз 152 (1722, размытый); 152 1 фз о персональных данных (1605); согласие о персональных данных 152 фз (1585); согласие на обработку персональных данных образец заполнения (1463); фз 152 о персональных данных последняя (1424, размытый); фз о персональных данных 152 последняя редакция (1378); персональными данными согласно 152 фз (1244); n 152 фз о персональных данных (1222); требования 152 фз о персональных данных (922); фз 3 152 о персональных данных (909)	
/sla-reports	Отчёты по доступности и SLA для клиента	агентство,saas	solution	105	105	sla доступность сайта (1); отчет по доступности сайта (0); uptime отчет (0)	sla мониторинг (52); мониторинг sla (52)	
/monitoring-from-russia	Проверки из России: серверы и оплата в рублях, данные в РФ	владелец,госсектор	solution	5825	5825	проверка сайта из россии (84); мониторинг сайта российский (38); проверить доступность сайта из другой страны (0); заблокирован сайт проверить (704)	российские системы мониторинга (1388); официальный портал правовой информации российской федерации (840); система мониторинга в российской федерации (772); не работают российские сайты (580); не открываются российские сайты (493); как оплатить claude code из россии (226); сайт российской статистики (191); почему не открываются российские сайты (153); мониторинг цен в российской федерации (107); блокировка российских сайтов (71); не грузятся российские сайты (42); cursor ai оплата из россии (39); российские таск трекеры (26); как оплатить replit из россии (22); российские нейросети для программирования (12); импортозамещение мониторинг (12); российский финансовый мониторинг официальный сайт (11); российская канбан доска (8); официальный сайт роскомнадзора российской федерации проверка организации (6)	
/free	Бесплатный мониторинг сайта: тариф навсегда	все	commercial	688	564	мониторинг сайта бесплатно (37); мониторинг серверов бесплатно (124, размытый); мониторинг сайтов бесплатно (37)	мониторинг сервера бесплатно (148); бесплатный мониторинг сервера (148); бесплатный seo аудит сайта (42); бесплатные сайты по проверке юридических лиц (39); бесплатный мониторинг сайтов (37); бесплатный мониторинг сайта (37); бесплатный сео аудит сайтов (27); бесплатная проверка seo сайта (12)	
/pricing	Тарифы Logsy: платите только за нужный объём	все	commercial	311	311	мониторинг сайта цена (208); стоимость мониторинга сайта (7); поддержка сайта тариф (40)	цена аудита сайта (30); сколько стоит аудит сайта (26)	
/for-owners	Logsy для владельцев сайтов: не теряйте заказы из-за сбоев	владелец	segment	72	72	простой сайта убытки (2); потеря заказов из за сайта (0)	проверка владельца домена (46); как узнать владельца счетчика яндекс метрики (17); проверка домена сайта на владельца (7)	
/for-marketers	Logsy для маркетологов: не сливайте рекламный бюджет в сбои	маркетолог	segment	2382	2382	почему сливается рекламный бюджет (0); почему падает конверсия сайта (0); конверсия сайта (2120); аудит рекламных лендингов (0)	электронный бюджет ошибка 404 (167); рекламные utm метки (39); рекламная воронка продаж (35); utm метки рекламных кампаний (15); бюджетный мониторинг в системе казначейских платежей это (6)	
/for-developers	Logsy для разработчиков: воспроизводите баги прода	разработчик	segment	412	412	как найти причину ошибки на сайте (8); как найти ошибку на сайте (94); воспроизвести баг (0); как собрать баг репорт (0)	воспроизведение сессий (106); отладка сайта (92); отладки сайт (92); режим отладки сайта (15); отладка javascript в браузере (5)	
/for-ecommerce	Мониторинг интернет-магазина: корзина, оплата, заявки	ecommerce	segment	14272	14272	мониторинг интернет магазина (62); мониторинг заказов интернет магазина (6); поддержка интернет магазина (1344)	тему интернет магазин (4283); онлайнтрейд интернет магазин (3592); интернет магазин поддержка (1344); мои инструменты интернет магазин (989); look online интернет магазин (841); online trade интернет магазин (329); мои игрушки интернет магазин (284); ф фишинг интернет магазин (245); меззаторре интернет магазин официальный сайт (243); desport интернет магазин (196); cdvpodarok интернет магазин виниловых и компакт дисков (176); метрион интернет магазин (158); мониторинг цен на маркетплейсах (100); воронка продаж на маркетплейсах (80)	
/for-agencies	Мониторинг сайтов клиентов для веб-студий и агентств	агентство	segment	139	139	мониторинг сайта для агентства (0); техподдержка сайта услуги (22); договор на техподдержку сайта (4)	лидс медиа агентство чем занимается (113)	
/for-support	Logsy для службы поддержки: обращение клиента + запись его сессии	поддержка	segment	30	30	сбор фидбека от пользователей (0); обращения пользователей сайта (0)	500 ошибка обращения к серверу (30)	
/for-devops	Logsy для DevOps: лёгкая замена Zabbix для сайтов и API	devops	segment	63832	17	система мониторинга (63815, размытый); мониторинг микросервисов (4); apm мониторинг (9); мониторинг после деплоя (1)	деплой сайта на vercel (3)	
/for-saas	Мониторинг SaaS-сервиса: доступность, инциденты, статус-страница	saas	segment	3867	3867	мониторинг saas (0); инцидент менеджмент (2022)	инциденталома (1657); менеджмент инцидентов информационной безопасности (44); гост менеджмент инцидентов (24); гост менеджмент инцидентов информационной безопасности (23); приложение инцидент менеджмент скачать (13); инцидент менеджмент курск (12); инцидент менеджмент что это такое простыми словами (11); инцидент менеджмент башкортостан официальный сайт (10); инцидент менеджмент оренбург (10); задачи системы инцидент менеджмент (9); инцидент менеджмент официальный сайт спб (9); инцидент менеджмент есиа (8); какие задачи решает система инцидент менеджмент (8); процесс инцидент менеджмента (7)	
/for-freelancers	Мониторинг сайтов для фрилансеров и вебмастеров	фрилансер	segment	364	364	мониторинг сайтов вебмастеру (0); вебмастер инструменты (0)	вебмастер яндекс метрика (248); yandex вебмастер (105); фриланса вайбкодинг (11)	
/for-media	Мониторинг контентного сайта: доступность и скорость под трафиком	медиа	segment	48	48	нагрузочное тестирование сайта (48); сайт не выдерживает нагрузку (0)	—	
/for-enterprise	Мониторинг сайтов для крупных компаний: данные в РФ, 152-ФЗ	госсектор,enterprise	segment	12	12	импортозамещение мониторинга (12); мониторинг сайтов российский сервис (0)	—	
/for-bitrix-integrators	Мониторинг сайтов на 1С-Битрикс для интеграторов	агентство,битрикс	segment	49	49	мониторинг битрикс (49); 1с битрикс мониторинг (0)	—	
/tools	Бесплатные инструменты проверки сайта	все	tool	807254	6289	проверить сайт (411111, размытый); проверка сайта (374498, размытый); проверить сайт онлайн (15356, размытый); проверить сайт онлайн бесплатно (3485)	сайт проверить авто по номеру бесплатно (1306); проверить сайт не открывается (235); проверить сайт на безопасность онлайн (156); проверка сайта для нейросетей (149); проверить сайт по ссылке онлайн (134); сайт проверить задолженность онлайн (125); проверить сайт на работоспособность онлайн (106); проверить сайт на соответствие 152 фз бесплатно (64); проверить сайт на безопасность онлайн по ссылке (51); проверить сайт на https онлайн (48); проверить сайт на оптимизацию онлайн (42); проверить сайт на битые ссылки (39); проверить сайт аудит (36); проверить сайт на сео оптимизацию онлайн (35); проверить сайт в браузерах онлайн (28); проверить сайт на историю бесплатно (28); проверить сайт на надежность бесплатно (26); проверить сайт на фишинг онлайн (24); сайт проверить по штрих коду онлайн (24); проверить сайт на технические ошибки бесплатно (21); проверка сайта на seo оптимизацию онлайн (20); проверка сайта в реестре роскомнадзора (19); проверка сайта на seo ошибки (18); проверить сайт на уязвимости онлайн (18); проверка сайта на скорость загрузки google (15); проверить сайт на благонадежность бесплатно (13); проверить сайт на seo оптимизацию онлайн бесплатно (13); проверить сайт на скорость от google speed (11)	
/tools/availability	Проверка доступности сайта онлайн	все	tool	2297	2297	проверка доступности сайта онлайн (298); проверить работает ли сайт (548); проверка сайта на доступность онлайн (35); как узнать что сайт упал (0)	проверить работоспособность сайта (807); проверить доступность сайта онлайн (259); проверка доступности сайта из разных стран (69); сервис проверки доступности сайта (50); мониторинг работоспособности сайта (31); проверить работает ли сайт в россии (25); проверить работает ли сайт онлайн (24); curl проверка доступности сайта (21); проверка доступности сайта в россии (17); недоступен сайт живого журнала (16); проверка доступности сайта из рф (14); сервис мониторинга доступности сайта (13); сервис мониторинга доступности сайтов (13); zabbix проверка доступности сайта (10); проверка доступности сайта из россии (9); zabbix мониторинг доступности сайта (8); мониторинг доступности сайта бесплатно (7); проверка домена на работоспособность (7); проверить сайт на работоспособность онлайн бесплатно (6); проверка доступности сайта онлайн россия (5); мониторинг работоспособности сервисов и сайтов в россии (5)	
/tools/ssl	Проверка SSL-сертификата сайта онлайн	все	tool	3494	3494	проверка подлинности ssl сертификата (723); ошибка при проверке ssl сертификата (996); проверить сертификат сайта (0)	ошибка проверки сертификата ssl что делать (248); api проверка сертификата (154); отключить проверку ssl сертификата (143); проверить сертификат сайта онлайн (135); что значит проверка ssl сертификата (127); ошибка при проверке ssl сертификата рсхб (103); проверить ssl сайта онлайн (100); проверить ssl сертификат сайта онлайн (99); что значит ошибка при проверке ssl сертификата (93); проверка работы ssl сертификата (86); ошибка проверки сертификата при работе с ssl (80); проверка ssl сертификата онлайн (79); при проверке ssl сертификата произошла ошибка (68); ошибка проверки ssl сертификата локо банк (57); что означает ошибка при проверке ssl сертификата (47); проверка ssl сертификата на сайте (36); проверка отзыва ssl сертификата (28); проверка ssl сертификата сайта онлайн (22); как проверить наличие ssl сертификата на сайте (15); как проверить срок действия сертификата ssl (13); проверить сертификат на подлинность онлайн официальный сайт (13); проверка ssl сертификата домена (10); отключение проверки сертификатов ssl chrome (7); jquery ajax проверка ssl сертификата (6); проверка сертификата к домену (6)	
/tools/whois	Whois домена: владелец, регистратор, дата окончания	все	tool	6143	6143	whois домена (1003); проверить занятость домена (888); проверить домен на занятость (1257); проверить доменное имя (1052); проверить историю домена (112)	проверить whois домена (374); whois сервис домена (321); whois сервис проверить домен (277); whois проверка домена (117); whois ip адреса (77); ip адрес whois (77); информация о домене whois (71); данные whois домена (71); whois ru домен (68); проверить домен на занятость во всех зонах (47); whois владелец домена (37); проверить домен на занятость ru (34); домен регистрация whois (25); whois ru проверка домена (23); проверить домен на занятость бесплатно (23); whois история домена (22); история домена проверить бесплатно (22); whois сайт домен (19); сервис whois информация о домене (19); рег ру проверить домен на занятость (19); узнать whois домен (17); проверка свободен ли домен (16); whois принадлежит домен (16); whois домена com (12); данные о домене в базе whois (10); проверить домен на занятость бегет (8); статистика запросов определенного домена в whois (5); whois ru проверка ip адрес (4)	
/tools/dns	Проверка DNS-записей домена: A, MX, TXT, NS	разработчик,devops	tool	15468	15468	проверка dns записей (437); проверить mx записи (0); проверка записей домена (768); dns сервер не отвечает (4050)	компьютер dns сервер не отвечает (967); устройство dns сервер не отвечает (771); ресурс dns сервер не отвечает (737); устройство или ресурс dns сервер не отвечает (731); dns сервер не отвечает windows (722); dns сервер не отвечает как исправить (689); dns сервер не отвечает что делать (553); dns сервер не отвечает что это значит (533); dns сервер не отвечает 10 (486); dns сервер не отвечает windows 10 (467); dns сервер не отвечает windows как исправить (453); dns не работает сайт (313); проверка dns домена (283); dns 403 forbidden (258); 403 error forbidden dns (240); dns shop 403 error forbidden (209); 403 forbidden сайт dns (206); интернет dns сервер не отвечает (202); проверка dns записей домена (201); dns shop ru 403 error forbidden (199); ошибка dns сервер не отвечает (185); не открывается сайт dns (164); обнаружено dns сервер не отвечает (124); диагностика dns сервер не отвечает (114); проверить mx запись домена (109); проверка txt записей домена (103); обнаружены проблемы dns сервер не отвечает (100); почему dns сервер не отвечает (94)	
/tools/http-headers	Проверка заголовков ответа и кода ответа сервера	разработчик	tool	21621	1855	заголовки ответа сервера (79); проверить код ответа сервера (65); проверить заголовки сайта онлайн (3); http error (19766, размытый)	ошибка код ответа 404 (300); ошибка запроса код ответа 404 (265); ошибка status code 500 (182); http status code 403 forbidden (139); ошибка request failed with status code 400 (119); status code 403 error forbidden (117); request failed with status code 403 claude (107); ошибка request failed with status code 500 (73); ошибка http status code 404 (71); ошибка request failed with status code 502 (65); ошибка http status code 400 (64); ошибка http запроса код ответа 400 (54); ошибка http status code 401 unauthorized (47); http status code 502 bad gateway (41); ошибка http запроса код ответа 500 (36); http заголовки ответа сервера (15); ошибка сервера код ответа 503 (13)	
/tools/ping	Пинг сайта онлайн: доступность и время отклика	все	tool	16524	2177	пинг сайта (1278); проверить пинг до сайта (73); трассировка до сайта (148); проверить открыт ли порт (0)	пинг сервера (14347, размытый); проверить пинг сайта (195); пинг сайта онлайн (80); сайт для проверки пинга (75); как сделать трассировку до сайта (62); пинг через сайт (49); сделать пинг сайта (25); пинг тест сайта (24); паспорт проверка api (18); пинг сайта через командную строку (15); узнать пинг сайта (14); проверить пинг сайта онлайн (13); пинг есть сайты не открываются (13); трассировка маршрута до сайта (10); сайт для теста пинга (9); сайт чтобы посмотреть пинг (8); командная строка команда запрос пинга на сайт (8); пинг сайта cmd (8); пинг сайта через cmd (7); как проверить трассировку до сайта (7); как выполнить трассировку до сайта (7); пинг проходит но сайт не открывается (6); как посмотреть трассировку до сайта (6); пинг сайта из россии (5); сайт чтобы был меньше пинг (5); измерить пинг до сайта (5); как проверить пинг до сайта через cmd (4)	
/tools/ip	IP-адрес и хостинг сайта: узнать по домену	все	tool	763	763	проверить ip адрес сайта (199); проверить хостинг сайта (154); проверка хостинга (239); узнать хостинг сайта (0)	проверка хостинга сайта (69); блокировка ip на сайте (49); проверить на каком хостинге сайт (21); проверить хостинг сайта по домену (14); как узнать на каком хостинге лежит сайт (8); проверка хостинга сайта по домену (6); как проверить на каком хостинге находится сайт (4)	
/tools/broken-links	Проверка сайта на битые ссылки онлайн	маркетолог,seo	tool	217	217	битые ссылки на сайте (123); проверка сайта на битые ссылки онлайн (10); проверить 404 ошибки на сайте (12)	проверка битых ссылок на сайте (24); битые ссылки на сайте онлайн (23); найти битые ссылки на сайте (15); проверка битых ссылок на сайте онлайн (10)	
/tools/redirects	Проверка редиректов и цепочек переадресаций	seo,разработчик	tool	6108	6108	проверить редиректы (167); слишком много переадресаций (0); проверка редиректов онлайн (35)	сайт переадресация слишком много раз (4152); редирект это (741); редирект что это (287); что такое редирект (236); проверка редиректов (228); проверить редирект (167); проверить редирект сайта (35); проверить редирект онлайн (18); проверить 301 редирект (12); 301 редирект проверить (11); проверить редирект ссылки (8); проверить цепочку редиректов (7); проверка цепочки редиректов (4)	
/tools/sitemap	Проверка sitemap.xml и карта страниц сайта	seo	tool	197349	3397	проверка sitemap xml (23); карта сайта xml (0); sitemap xml (0); карта сайта (193952, размытый)	карта сайта онлайн (3367); проверка sitemap xml онлайн (7)	
/tools/robots	Проверка и генератор robots.txt	seo	tool	100	100	проверка robots txt (58); генератор robots txt (14); robots txt (0)	файл robots txt проверка (21); проверка robots txt яндекс вебмастер (7)	
/tools/meta-tags	Проверка мета-тегов: title, description, og	seo,маркетолог	tool	1004	1004	проверка мета тегов (35); проверить title и description (0); микроразметка проверка (0)	проверка микроразметки (588); проверить микроразметку (353); проверка мета тегов онлайн (20); проверить мета теги сайта онлайн (8)	
